MUTERIA_MATRIX_KEY_COL org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherTest.testGetBits org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherBuilderTest.buildTest_String org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherBuilderTest.buildTest_byteArray org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherTest.testGetBits_MultipleHashes org.apache.commons.collections4.bloomfilter.hasher.DynamicHasher_ESTest.test9 org.apache.commons.collections4.bloomfilter.hasher.DynamicHasher_ESTest.test5 org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherBuilderTest.buildTest_Empty org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherBuilderTest.buildTest_UnencodedString org.apache.commons.collections4.bloomfilter.hasher.DynamicHasher_ESTest.test6 org.apache.commons.collections4.bloomfilter.hasher.DynamicHasher_ESTest.test4 org.apache.commons.collections4.bloomfilter.HasherBloomFilterTest.constructorTest_NonStatic org.apache.commons.collections4.bloomfilter.hasher.DynamicHasher_ESTest.test7 org.apache.commons.collections4.bloomfilter.hasher.DynamicHasher_ESTest.test0 org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherTest.testGetBits_WrongShape org.apache.commons.collections4.bloomfilter.hasher.DynamicHasher_ESTest.test8 org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherBuilderTest.buildResetTest
94 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1
95 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
97 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
98 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
99 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 0
100 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1
101 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1
102 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1
103 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1
104 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1
105 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1
106 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
108 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1
109 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
110 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
111 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1
112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
113 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 0
114 1 1 1 1 0 0 0 1 0 0 1 0 0 0 1 1
115 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1
116 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
117 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 0
118 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1
119 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
120 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 0
121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
122 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 0
123 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
125 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
127 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
128 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
129 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
130 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
131 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
132 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
133 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
134 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
135 1 1 1 1 0 0 1 1 0 0 1 0 0 1 1 1
136 1 1 1 1 0 0 1 1 0 0 1 0 0 1 1 1
137 1 1 0 1 0 0 0 0 0 0 1 1 0 1 0 0
138 1 1 1 1 0 0 1 1 0 0 1 0 0 1 1 1
139 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
140 1 1 0 1 0 0 0 0 0 0 1 1 0 1 0 0
141 1 1 1 1 0 0 1 1 0 0 1 1 0 1 0 1
142 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1
143 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0
144 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0
145 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0
146 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
147 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
148 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
149 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0
150 1 1 1 1 0 0 1 1 0 0 1 0 0 1 1 1
151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
152 1 1 1 1 0 0 1 1 0 0 1 1 0 1 0 1
